#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC8722;Mùj pane,\nmùj vazal [FromFrom.GetTitledName]si pøeje podpoøit Øád nìmeckıch rytíøù postoupení èásti svého panství. V této dùleité vìci si nedovoluji rozhodnout bez tvého svolení.\n\nTvùj pokornı vazal,\n[From.GetTitledName];M[Player.GetOnA][Player.GetLordLady],\n[FromFrom.Get_Le_TitledName], m[FromFrom.GetOnA] vassal[FromFrom.Get_E], souhaite soutenir l'Ordre teutonique en leur donnant un comté. Il est évident que je ne prendrai pas une décision aussi importante sans venir chercher votre accord.\n\nVotre humble vassal[From.Get_E],\n[From.GetTitledName];Mein Fürst,\nmein Vasall [FromFrom.GetTitledName] möchte den Teutonischen Orden unterstützen, indem er ihm eine Grafschaft übergibt. Eine solch wichtige Entscheidung würde ich natürlich nicht gewähren, ohne zuerst Eure Zustimmung einzuholen.\n\nEuer ergebener Vasall\n[From.GetTitledName];;Mi señor,\nMi vasallo [From.GetTitledName] desea apoyar a la Orden Teutónica otorgándole un condado. Por supuesto, jamás permitiría tan importante decisión sin solicitar primero su aprobación.\n\nSu humilde vasallo,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA8722;Skvìlı nápad!;Excellente proposition !;Hervorragender Vorschlag!;;¡Excelente proposición!;;;;;;;;;x
EVTOPTB8722;Nikdy nedám svolení k rozdávání mé zemì!;Je ne permettrai aucune cession de terre;Ich werde keine Landabtretung gestatten;;No permitiré la cesión de ninguna tierra;;;;;;;;;x
EVTDESC8723;Tvá velkorysá nabídka darování zemì Øádu nìmeckıch rytíøù byla schválena.\n[From.GetTitledName];Votre offre généreuse qui vise à donner un comté à l'Ordre Teutonique a ma bénédiction.\n[From.GetTitledName];Euer großzügiges Angebot, an den Teutonischen Orden eine Grafschaft abzutreten, findet meine Billigung.\n[From.GetTitledName];;Vuestra generosa oferta de otorgar un condado a la Orden Teutónica cuenta con mi aprobación.\n[From.GetTitledName] ;;;;;;;;;x
EVTOPTA8723;Pøesnì tak to mìlo bıt!;Qu'il en soit ainsi !;So soll es sein!;;¡Entonces que así sea!;;;;;;;;;x
EVTDESC8724;Nedovolím aby nìjaké dravy byly pøedány Øádu nìmeckıch rytíøù!\n[From.GetTitledName];Je ne permettrai pas que vous cédiez une terre à l'Ordre Teutonique !\n[From.GetTitledName];Ich werde es nicht gestatten, dass Ihr irgendwelches Land an den Teutonischen Orden abtretet!\n[From.GetTitledName];;¡No permitiré que se ceda ningún territorio a la Orden Teutónica!\n[From.GetTitledName];;;;;;;;;x
EVTOPTA8724;Pak tedy zruším svojí nabídku;Je retirerai donc mon offre;Dann werde ich mein Angebot zurückziehen;;Entonces retiro mi oferta;;;;;;;;;x
EVTDESC8725;Ó velikı [Root.GetTitledFirstName],\nTvá stateènost je legendární. Pøeji si podpoøit tvùj boj proti pohanùm a proto si pøeji pøidat se ke Tvé milosti, abys vládl i nad mımi zemìmi.\n\nPodepsán,\n[From.GetTitledName];À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre bravoure est légendaire. Je souhaite vous soutenir dans votre valeureuse lutte contre les païens, et vous offre par la présente la cession d'un Comté à l'Ordre.\n\nSigné,\n[From.GetTitledName];An den Großen [Root.GetTitledFirstName],\nEure Tapferkeit ist legendär. Ich möchte Euch in Eurem tapferen Kampf gegen die Heiden unterstützen und biete Eurem Orden hiermit eine Grafschaft an.\n\nGezeichnet,\n[From.GetTitledName];;Al gran [Root.GetTitledFirstName],\nVuestra valentía es legendaria. Deseo apoyaros en vuestra valiente campaña contra los paganos y por la presente os ofrezco un Condado para la orden.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
alert_truce_expiring_instant;§YPøímìøí vyprší§!;§YDes trêves expirent§!;§YWaffenstillstände laufen aus§!;;§YLas treguas van a expirar§!;;;;;;;;;x
alert_truce_expiring_delayed;Následující pøímìøí vyprší:$LIST$;Les trêves suivantes expirent : $LIST$;Die folgenden Waffenstillstände laufen aus:$LIST$;;Las siguientes treguas están expirando: $LIST$;;;;;;;;;x
alert_no_ambition_instant;§YZvol si ambici§!;§YChoisissez une ambition§!;§YWählt eine Ambition§!;;§YSelecciona una ambición§!;;;;;;;;;x
TOTAL_BONUS;(Celkovı bonus);(Bonus total);(Gesamter Bonus);;(Bonus total);;;;;;;;;x
LEVY_MULTIPLIER;Násobitel zemské hotovosti: $VALUE$;Bonus de levée : $VALUE$;Aufgebot-Multiplikator: $VALUE$;;Multiplicador de reclutas: $VALUE$;;;;;;;;;x
TOTAL_LEVY;Celková zemská hotovost: §Y$VALUE$§!;Levée totale : §Y$VALUE$§!;Lehnstruppen: §Y$VALUE$§!;;Reclutas totales: §Y$VALUE$§!;;;;;;;;;x
REALM_TREE;Strom panství;Arbre hiérarchique;Hierarchiebaum des Reiches;;Árbol del Reino;;;;;;;;;x
DYN14_DESC;Se skóre $SCORE$ se ti podaøilo pøekonat rod Godwinù. 5 ledna roku 1066 se stal Harold II. Godwinson králem Anglie. Jeho otec, za vlády Knuta Velikého, usilovnì budoval rod a jeho postavení. Po smrti Eduarda III. Vyznavaèe tak mohlo dojít k pøevzetí moci. Nicménì Harold II. Godwison nebyl jedinı, kdo si èinil nárok na trùn. Dalšími uchazeèi byli Harald III. Norskı a Vilém II. Normanskı (té Vilém I. Dobyvatel). Následnì došlo k nìkolika bitvám. Nejprve byl Harald III. Norskı poraen u Stamford Bridge Haroldem, a zde také padl. Následnì se Harold støetl s Vilémem I. Dobyvatelem u Hastingsu. Harold byl dle povìsti zasaen šípem a ranìn. Pøi následujícím útoku se pak dostal do pøímého boje, kde byl zabit, spoleènì se svımi bratry. Po smrti Harolda vliv rodu Godwinù rychle upadl. Anglie byla následnì obsazena Normany a panství rozdìlena mezi normanské velmoe.;Votre score est de $SCORE$ et vous pouvez le comparer avec celui de la Maison Godwin. Le 5 janvier 1066, Harold Godwinson devint Roi d'Angleterre. Son père passa l'essentiel du règne du Roi Canute à consolider le pouvoir de la famille. Avec la mort d'Édouard le Confesseur, il parvint à revendiquer le trône. Cependant, il n'était pas le seul prétendant, Harald de Norvège et Guillaume de Normandie prétendaient tous deux au trône et envahirent l'Angleterre. Harald fut vaincu et tué lors de la bataille de Stamford Bridge. Harold fut vaincu et tué plus tard par Guillaume lors de la bataille d'Hastings, ainsi que deux de ses frères. À sa mort, le pouvoir de la Maison Godwin s'effondra et ses terres furent partagées entre les seigneurs normands qui accompagnaient Guillaume.;Mit einer Punktzahl von $SCORE$ seid Ihr dabei $FAILED$, das Haus Godwin zu besiegen. Am 5. Januar 1066 wurde Harold Godwinson zum König von England. Sein Vater hatte den Großteil der Herrschaft König Canutes darauf verwendet, die Machtbasis der Familie aufzubauen, und mit dem Tod von Eduard dem Bekenner war es ihm möglich, den Thron zu besteigen. Er war jedoch nicht der einzige Anwärter, Harald of Norway und William of Normandy beanspruchten beide ebenfalls den Titel und marschierten ein. Harald wurde in der Schlacht von Stamford Bridge besiegt und getötet, Harold jedoch wurde später (zusammen mit zwei seiner Brüder) in der Schlacht von Hastings durch William besiegt und getötet. Mit seinem Tod brach die Macht des Hauses Godwin zusammen und seine Ländereien wurden unter den siegreichen normannischen Lordschaften aufgeteilt, die William gefolgt waren.;;Con un resultado de $SCORE$, has $FAILED$ en tu batalla contra la Casa de Godwin. El 5 de enero de 1066, Harold Godwinson se convirtió en rey de Inglaterra. Su padre había pasado gran parte del reinado del rey Canuto construyendo la base de poder de la familia y a la muerte de Eduardo el Confesor fue capaz de asumir el trono. Sin embargo, no fue el único reclamante, Harald de Noruega y Guillermo de Normandía también anhelaban el título y le invadieron. Harald fue derrotado y asesinado en la batalla de Stamford Bridge, pero Harold luego sería derrotado y asesinado (junto con dos de sus hermanos) por William en la batalla de Hastings. Con su muerte, el poder de la Casa de Godwin se derrumbó y la tierra se dividió entre los victoriosos señores normandos que seguían a William.;;;;;;;;;x
EVTOPTA38020;Jsou tam tlustí biskupové, zadrte je!;Des évêques obèses, arrêtez-les !;Dort sind fette Bischöfe, ergreift sie!;;¡Son unos obispos gordos, sítialos!;;;;;;;;;x
TOURNAMENTTITLE;Velkı turnaj;Grand tournoi;Großes Turnier;;Gran Torneo;;;;;;;;;x
EVTDESC70034;[From.GetTitledName] byl korunován jako vítìz mého velkého turnaje.;[From.Get_Le_TitledName] a été couronné Champion du grand tournoi.;[From.GetTitledName] wurde zum Sieger meines großen Turniers gekrönt.;;¡[From.GetTitledName] ha sido coronado como ganador de mi Gran Torneo!;;;;;;;;;x
EVTOPTA70034;Však si to zaslouí!;C'est amplement mérité !;[From.GetSheHeCap] hat es wahrlich verdient!;;¡[From.GetSheHeCap] de verdad se lo merece!;;;;;;;;;x
EVTDESC70035;Stateènı [From.GetTitledName] získává druhé místo v mém velkém turnaji.;La bravoure [From.Get_du_TitledName] lui a valu la seconde place de mon grand tournoi.;[From.GetTitledName]s Tapferkeit hat [From.Getihmihr] den zweiten Platz im großen Turnier eingebracht.;;La valentía de [From.GetTitledName] le ha hecho ganar el segundo puesto en mi Gran Torneo.;;;;;;;;;x
EVTOPTA70035;Nejstateènìjší vıkon!;Une vaillante performance !;Eine höchst wackere Darbietung!;;¡Una actuación más que valiente!;;;;;;;;;x
EVTDESC70036;[From.GetTitledName] si vybojoval tøetí místo na mém velkém turnaji.;[From.Get_Le_TitledName] a combattu jusqu'à atteindre la troisième place de mon grand tournoi.;[From.GetTitledName] hat sich [From.GetHerHis]en dritten Platz im großen Turnier erkämpft.;;[From.GetTitledName] se ha abierto camino hasta el tercer puesto en mi Gran torneo;;;;;;;;;x
EVTOPTA70036;A bojoval velmi tvrdì, e...;Et le combat fut âpre pour en arriver là.;Und wahrlich hart hat [From.GetSheHe] darum gekämpft.;;Y [From.GetSheHe] luchó duramente.;;;;;;;;;x
EVTDESC70037;Velkı turnaj [From.GetTitledName] byl kvùli válce zrušen.;Le grand tournoi [From.Get_du_TitledName] a été annulé à cause de la guerre.;Das große Turnier von [From.GetTitledName] wurde wegen des Krieges abgesagt.;;El Gran Torneo de [From.GetTitledName] se ha cancelado debido a la guerra.;;;;;;;;;x
EVTOPTA70037;Moji stateènost uvidíte v bitvì!;Ma bravoure sera donc pour la bataille !;Dann werde ich meine Tapferkeit im Kampf beweisen!;;¡Entonces mi valentía se demostrará en combate!;;;;;;;;;x
EVTDESC70038;Mùj pane! Tvùj host [From.GetTitledName] byl bìhem turnaje tragicky zabit!;M[Root.GetOnA][Root.GetLordLady] ! Votre invité[From.Get_E], [From.Get_le_TitledName], est mort[From.Get_E] tragiquement lors du tournoi !;Mein Fürst! Euer Gast [From.GetTitledName] wurde tragischerweise während des Turniers getötet!;;¡Mi señor! ¡Su huésped [From.GetTitledName] ha sido trágicamente asesinado durante el torneo!;;;;;;;;;x
EVTOPTA70038;To je smutné;Quelle malchance.;Höchst bedauerlich;;El más desafortunado;;;;;;;;;x
EVTOPTB70038;Neobtìujte mì s takovımi detaily!;Passez sur les détails futiles !;Langweile mich nicht mit solchen Details!;;¡No me moleste con tales detalles!;;;;;;;;;x
EVTDESC70039;Mùj pane! Tvùj host [From.GetTitledName] byl bìhem turnaje tragicky zmrzaèen!;M[Root.GetOnA][Root.GetLordLady] ! Votre invité[From.Get_E], [From.Get_le_TitledName], a été gravement blessé[From.Get_E] lors du tournoi !;Mein Fürst! Euer Gast [From.GetTitledName] wurde tragischerweise während des Turniers verkrüppelt!;;¡Mi señor! ¡Su huésped [From.GetTitledName] ha sido trágicamente mutilado durante el torneo!;;;;;;;;;x
EVTDESC70040;Mùj pane! Tvùj host [From.GetTitledName] byl bìhem turnaje tragicky zranìn!;M[Root.GetOnA][Root.GetLordLady] ! Votre invité[From.Get_E], [From.Get_le_TitledName], a été blessé[From.Get_E] lors du tournoi !;Mein Fürst! Euer Gast [From.GetTitledName] wurde tragischerweise während des Turniers verwundet!;;¡Mi señor! ¡Su huésped [From.GetTitledName] ha sido trágicamente herido durante el torneo!;;;;;;;;;x
opinion_tournament_participant;Poøadatel velkého turnaje;Organisateur du grand tournoi;Hat ein großes Turnier abgehalten;;El Gran Torneo se ha celebrado;;;;;;;;;x
opinion_tournament_winner;Vítìz velkého turnaje;Gagnant du grand tournoi ;Gewinner des großen Turniers;;Ganador del Gran Torneo;;;;;;;;;x
opinion_tournament_second_place;Druhé místo ve velkém turnaji;Deuxième du grand tournoi ;Zweiter Platz im großen Turnier;;Segundo puesto en el Gran Torneo;;;;;;;;;x
opinion_tournament_third_place;Tøetí místo ve velkém turnaji;Troisième du grand tournoi ;Dritter Platz im großen Turnier;;Tercer puesto en el Gran Torneo;;;;;;;;;x
EVTDESC70012;Dostali jsme se do nejvìtší vøavy. Pak jsem uvidìl nepøátele, moje vnitønosti se promìnily ve vodu a mé svìraèe se uvolnily. Moji prátelé to vidìli a dívali se na mì s odporem...;Nous nous jetâmes dans la mêlée, mais je vis nos ennemis et mes tripes se retournèrent soudainement. Tous mes camarades me regardèrent avec dégoût.;Wir waren gerade in den Nahkampf eingetreten, aber dann habe ich unsere Gegner gesehen, und plötzlich drehte sich mir der Magen um und ich musste mich übergeben. Meine Kameraden schauten mich alle voller Abscheu an. ;;Avanzamos adelante en el cuerpo a cuerpo, pero entonces vi a nuestros enemigos y de repente me flojearon las piernas y se me hicieron las tripas agua. Todos mis camaradas me miraron disgustados.;;;;;;;;;x
EVTDESC923;Bìhem mého dohledu na stavby v [Root.Location.GetName] jsem potkal stavbyvedoucího. Byl velmi rád, e se mùe s nìkım podìlit o svoje znalosti, a já jsem získal nové znalosti o stavitelství.;Lors de ma mission consistant à superviser les constructions à [Root.Location.GetName], je rencontrai un maître-bâtisseur. Il avait une grande expérience et fut plus que ravi de m'apprendre moultes choses sur la construction des édifices.;Während der Mission, die Bauarbeiten in [Root.Location.GetName] zu beaufsichtigen, traf ich zufällig einen Meisterarchitekten. Er hatte große Erfahrung und hat mir mit Freude viel Neues über den Gebäudebau beigebracht.;;Durante mi misión para supervisar las construcciones en [Root.Location.GetName] me encontré con un Maestro Constructor. Tenía extensa experiencia y me enseñó con agrado muchas cosas sobre la construcción de edificios.;;;;;;;;;x
EVTOPTA923;Toto bude moje budoucí povolání;Cela propulsera ma carrière.;Dies wird meine Karriere vorantreiben;;Esto mejorará mi carrera;;;;;;;;;x
EVTDESC20230;Mùj pane, stavby, probíhající v [From.Location.GetName], postupují dobøe. Vše sleduje stavitel, kterı si mì vzal pod svá køídla a uèí mì vše, co ví o stavitelství. To mi pomáhá v mé práci.\n\nTvùj pokornı správce,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], les constructions à [From.Location.GetName] vont bon train sous le regard avisé d'un maître-bâtisseur qui m'a pris sous son aile, m'apprenant tout ce qu'il sait sur l'art de bâtir. Ses connaissances m'aideront grandement.\n\nVotre humble intendant,\n[From.GetTitledName];Mein Lehnsherr, die Arbeiten in [From.Location.GetName] schreiten unter den Argusaugen eines Meisterarchitekten gut voran, welcher mich unter seine Fittiche genommen hat und mir alles, was er über den Gebäudebau weiß, beibringt. Dieses Wissen wird mir bei meiner Arbeit sehr hilfreich sein.\n\nEuer ergebener Verwalter,\n[From.GetTitledName];;Mi señor, el trabajo de construcción en [From.Location.GetName] se desarrolla sin problemas ante los meticulosos ojos de [From.GetFirstName], maestro de obras, que me ha acogido bajo su manto y me está enseñando todo lo que [Root.GetSheHe] sabe sobre construcción. Este conocimiento será de gran ayuda en mi trabajo.\n\nSu humilde [Root.GetTreasurerName],\n[From.GetTitledName];;;;;;;;;x
EVTDESC80057;Jeliko byli rebelové z venkovskıch oblastí [FromFrom.GetName] nevdìèná verbe, pøebìhli a pøísahali vìrnost novému pánovi z [From.County.Holder.GetTitledName]!;Se sentant légèrement loyaux envers leur précédent souverain, les paysans rebelles de [FromFrom.GetName] se sont enfuis et ont prêté allégeance [From.County.Holder.Get_au_TitledName] !;Ohne große Loyalität gegenüber ihrem vorherigen, weit entfernten Herrscher, sind die rebellischen Bauern von [FromFrom.GetName] übergelaufen und haben [From.County.Holder.GetTitledName] ihre Treue geschworen!;;La lealtad al lejano gobernante se ha debilitado. ¡Los rebeldes del ejército de [From.GetName] han desertado y jurado lealtad a [From.County.Holder.GetTitledName]!;;;;;;;;;x
EVTDESC80062;Jeliko byli venkovští rebelové z [Root.GetName] nevdìèná verbe, pøísahali vìrnost jinému vládci!;Se sentant légèrement loyaux envers leur précédent souverain, les paysans rebelles de [Root.GetName] se sont enfuis et ont prêté allégeance à un autre souverain !;Ohne große Loyalität gegenüber ihrem vorherigen, weit entfernten Herrscher, sind die rebellischen Bauern von [Root.GetName] übergelaufen und haben einem anderen Herrscher ihre Treue geschworen!;;La lealtad al lejano gobernante se ha debilitado. ¡Los rebeldes del ejército [FromFrom.GetName] han desertado y jurado lealtad a otro gobernante!;;;;;;;;;x
#EVTDESC60020;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the [catholic.GetName] faith!;Mon seigneur, le grand [Root.GetTitledName] et tous ses vassaux se sont convertis au catholicisme !;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den [catholic.GetName]en Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe [GetSpanishCatolica]!;;;;;;;;;x
#EVTDESC60021;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;Mon seigneur, le grand [Root.GetTitledName] et tous ses vassaux se sont convertis à l'orthodoxie !;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den orthodoxen Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Ortodoxa!;;;;;;;;;x
#EVTDESC60022;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;Mon seigneur, le grand [Root.GetTitledName] et tous ses vassaux se sont convertis au sunnisme !;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den sunnitischen Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Sunita!;;;;;;;;;x
#EVTDESC60023;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;Mon seigneur, le grand [Root.GetTitledName] et tous ses vassaux se sont convertis au chiisme !;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den schiitischen Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Chiita!;;;;;;;;;x
EVTTOOLTIP5025;Jiskra v oku [Root.GetTitledFirstName];La prunelle des yeux [Root.Get_du_TitledFirstName];[Root.GetTitledFirstName]s Augapfel;;La niña de los ojos de [Root.GetTitledFirstName];;;;;;;;;x
EVTDESC72086;Byl jsem pøekvapen, kdy si mì [From.GetTitledName] bìhem hostiny vzal stranou k soukromému rozhovoru. [From.GetTitledName] mi podrobnì vysvìtlil, e podle jeho názoru má jeden z mıch titulù patøit jemu.;Je fus surpris lorsque [From.Get_le_TitledName] me pris en aparté pendant la fête. [From.Get_Le_TitledName] m'expliqua calmement que l'un de mes titres lui appartenait de droit.;Ich war überrascht, als [From.GetTitledName] mich während des Gelages für ein Privatgespräch zur Seite nahm. [From.GetTitledName] erklärte vorsichtig, dass [From.GetSheHe] der Auffassung sei, einer meiner Titel gehöre rechtmäßig [From.Getihmihr].;;Me sobresalté cuando [From.GetTitledName] me apartó para hablar conmigo en privado durante el banquete. [From.GetTitledName] me explicó cuidadosamente que [From.GetSheHe] sentía que uno de mis títulos le correspondía por derecho.;;;;;;;;;x
EVTTOOLTIP72087;[Root.GetTitledFirstName] udìluje [This.GetTitledFirstName] nárok na svùj titul;[Root.Get_Le_TitledFirstName] octroie [This.Get_au_TitledFirstName] le titre convoité;[Root.GetTitledFirstName] gewährt [This.GetTitledFirstName] den Titel, den [This.GetSheHe] wünscht;;[Root.GetTitledFirstName] otorga a [This.GetTitledFirstName] el título que desea.;;;;;;;;;x
EVTDESC72089;Skvìlá hostina. Stráe [From.GetTitledFirstName] mì honily po paláci a nakonec mì uvrhly do aláøe! Chamtivı [From.GetTitledFirstName] si myslí, e mu teï pøenechám svùj titul, vımìnou za svou svobodu. Ale já mu ukáu, e [From.GetTitledFirstName] je silnìjší ne on!;La fête était grandiose, jusqu'à ce que les gardes me saisissent et me jetèrent dans le donjon [From.Get_du_TitledFirstName] ! L'avide [From.GetTitledFirstName] pensait peut-être que je lui donnerais mon titre contre ma liberté, mais je lui prouverai qu'il ne faut pas me sous-estimer !;Das Gelage war großartig, bis die Wachen mich ergriffen und mich in [From.GetTitledFirstName]s Kerker warfen! Voll Gier scheint [From.GetTitledFirstName] zu glauben, dass ich [From.Getihmihr] willentlich den Titel, den [From.GetSheHe] wünscht, gegen meine Freiheit eintausche, aber ich werde [From.GetTitledFirstName] beweisen, dass ich stärker bin, als [From.GetSheHe] glaubt!;;El banquete era genial ¡hasta que los guardias me agarraron y me metieron en el calabozo de [From.GetTitledFirstName]! El codicioso [From.GetTitledFirstName] pensaría que estoy dispuesto a darle el título que [From.GetSheHe] quiere a cambio mi libertad, ¡pero le demostraré [From.GetTitledFirstName] que soy más fuerte de lo que piensa!;;;;;;;;;x
EVTOPTA72089;Ten titul nikdy nedostaneš!!;Le titre ne sera jamais vôtre !;Dieser Titel wird niemals Euch gehören!;;¡El título jamás será tuyo!;;;;;;;;;x
EVTOPTB72089;Poèkej... Pøenechám ti ten titul, jen mì nech odejít!;Attendez... Je vous donnerai mon titre, mais laissez-moi sortir !;Wartet ... Ich gebe Euch den Titel, lasst mich nur hier raus!;;Espera... Te daré el título, ¡pero déjame marchar!;;;;;;;;;x
EVTOPTA69058;Kdy mì vdy zklamal, mám nyní mu vìøit?;Pourquoi me déçoit-[Root.job_spiritual.GetIlElle] à chaque fois que j'essaye de lui faire confiance ?;Warum enttäuscht [Root.job_spiritual.GetSheHe] jedes Mal mein Vertrauen?;;¿Por qué [Root.job_spiritual.GetSheHe] me decepciona cada vez que intento confiar en [Root.job_spiritual.GetSheHe]?;;;;;;;;;x
MAPMODE_RELIGION_DESC;Tato mapa ti ukáe vyznání ve všech oblastech.;Ce mode de carte montre l'influence de toutes les religions;Dieser Kartenmodus zeigt die Ausbreitung aller Religionen.;;Este modo del mapa muestra la expansión de todas las regiones;;;;;;;;;x
convert_to_parent_religion_desc;Opìt jsem našel správnou víru.;Je vais rejoindre la seule vraie foi.;Ich werde mich wieder dem einzig wahren Glauben anschließen.;;Un día me reuniré con la única y verdadera fe.;;;;;;;;;x
tut_6a_24;Rùzné dùsledky války budou probrány ve støední kapitole váleèného tutoriálu. Protoe jsi zatím ještì nevyhrál, poadavek na nepøátelskou kapitulaci nebude pøijat. Nabídni bílı mír nebo svou kapitulaci pro ukonèení této èásti.;Les différentes issues d'une guerre seront traitées dans le didacticiel de guerre intermédiaire. Étant donné que vous n'avez rien gagné jusqu'à présent, exiger la reddition ne marchera pas. Proposez une paix blanche ou votre reddition afin de terminer cette partie.;Die verschiedenen Ausgänge eines Krieges werden im fortgeschrittenen Kriegstutorial erörtert. Da Ihr bisher noch nichts gewonnen habt, wird es nicht funktionieren, vom Gegner die Kapitulation zu verlangen. Bietet ihnen ein Informelles Friedensangebot oder Eure Kapitulation an, um diesen Teil mit Senden zu beenden.;;Los diversos resultados de la guerra se discutirán en el tutorial intermedio de guerra. Como no has ganado nada, exigirles que se rindan no funcionará. Ofrece bandera blanca o ríndete para finalizar esta parte.;;;;;;;;;x
LOST_PLAYER;$NAME$ byl ztracen...;$NAME$ a abandonné...;$NAME$ hat die Verbindung verloren ...;;$NAME$ ha caído...;;;;;;;;;x
SAFE_RAISE;§GDr §YCtrl§G pøi kliknutí pro shromádìní hotovosti jen tam, kde se zrovna nenachází nepøátelé§!;§GMaintenir §YCtrl§G en cliquant pour ne pas mobiliser de troupes dans les provinces où des ennemis sont présents§!;§GHalte §YStrg§G gedrückt, wenn du klickst, um nicht in Provinzen auszuheben, in denen sich Feinde befinden.§!;;Mantén pulsado §YControl§! mientras haces clic para no crecer en provincias con enemigos;;;;;;;;;x
DIPLO_ALREADY_CONSIDERING;§Y$NAME$§! nyní zvauje naší nabídku $INTERACTION$;§Y$NAME$§! réfléchit actuellement à ce que nous lui avons proposé : $INTERACTION$;§Y$NAME$§! zieht derzeit unser Angebot über §Y$INTERACTION$§! in Betracht;;§Y$NAME$§! está actualmente considerando una oferta de $INTERACTION$ nuestra;;;;;;;;;x
DIPLO_ALREADY_CONSIDERING_DAYS;, oèekáváme odpovìï v následujících §Y$DAYS$§! dnech;, nous attendons une réponse dans §Y$DAYS$§! Jours;, wir erwarten eine Antwort in §Y$DAYS$§! Tagen;;, esperamos una respuesta en §Y$DAYS$§! días.;;;;;;;;;x
STORE_USERNAME;Jméno:;Nom d'utilisateur : ;Benutzername: ;;Usuario:;;;;;;;;;x
STORE_PASSWORD;Heslo:;Mot de passe : ;Passwort:;;Contraseña:;;;;;;;;;x
